name,color,size,price_sale,price
4121-FANRBRW,WHITE-BLACK HAWAII,41,14.00,35.00
4121-FANRBRW,WHITE-BLACK HAWAII,42,14.00,35.00
4121 FLIP FLOPS,BLACK-WHITE,35,18.85,29.00
4121 FLIP FLOPS,BLACK-WHITE,36,18.85,29.00
4121 FLIP FLOPS,BLACK-WHITE,37,18.85,29.00
4121 FLIP FLOPS,BLACK-WHITE,38,18.85,29.00
4121 FLIP FLOPS,BLACK-WHITE,39,18.85,29.00
4121 FLIP FLOPS,BLACK-WHITE,40,18.85,29.00
4121 FLIP FLOPS,BLACK-WHITE,41,18.85,29.00
4121 FLIP FLOPS,BLACK-WHITE,42,18.85,29.00
4121 FLIP FLOPS,GREEN SAGE-GREEN LT,35,18.85,29.00
4121 FLIP FLOPS,GREEN SAGE-GREEN LT,36,18.85,29.00
4121 FLIP FLOPS,GREEN SAGE-GREEN LT,37,18.85,29.00
4121 FLIP FLOPS,GREEN SAGE-GREEN LT,38,18.85,29.00
4121 FLIP FLOPS,GREEN SAGE-GREEN LT,39,18.85,29.00
4121 FLIP FLOPS,GREEN SAGE-GREEN LT,40,18.85,29.00
4121 FLIP FLOPS,GREEN SAGE-GREEN LT,41,18.85,29.00
4121 FLIP FLOPS,GREEN SAGE-GREEN LT,42,18.85,29.00
4121 FLIP FLOPS,TOTAL WHITE,35,18.85,29.00
4121 FLIP FLOPS,TOTAL WHITE,36,18.85,29.00
4121 FLIP FLOPS,TOTAL WHITE,37,18.85,29.00
4121 FLIP FLOPS,TOTAL WHITE,38,18.85,29.00
4121 FLIP FLOPS,TOTAL WHITE,39,18.85,29.00
4121 FLIP FLOPS,TOTAL WHITE,40,18.85,29.00
4121 FLIP FLOPS,TOTAL WHITE,41,18.85,29.00
4121 FLIP FLOPS,TOTAL WHITE,42,18.85,29.00
4121-FANRBRW,PALMS-BLACK,35,14.00,35.00
4121-FANRBRW,PALMS-BLACK,36,14.00,35.00
4121-FANRBRW,PALMS-BLACK,37,14.00,35.00
4121-FANRBRW,PALMS-BLACK,38,14.00,35.00
4121-FANRBRW,PALMS-BLACK,39,14.00,35.00
4121-FANRBRW,PALMS-BLACK,40,14.00,35.00
4121-FANRBRW,PALMS-BLACK,41,14.00,35.00
4121-FANRBRW,PALMS-BLACK,42,14.00,35.00
4121-FANRBRW,PALMS-WHITE,35,14.00,35.00
4121-FANRBRW,PALMS-WHITE,36,14.00,35.00
4121-FANRBRW,PALMS-WHITE,37,14.00,35.00
4121-FANRBRW,PALMS-WHITE,38,14.00,35.00
4121-FANRBRW,PALMS-WHITE,39,14.00,35.00
4121-FANRBRW,PALMS-WHITE,40,14.00,35.00
4121-FANRBRW,PALMS-WHITE,41,14.00,35.00
4121-FANRBRW,PALMS-WHITE,42,14.00,35.00
4121-FANRBRW,WHITE-BLACK HAWAII,35,14.00,35.00
4121-FANRBRW,WHITE-BLACK HAWAII,36,14.00,35.00
4121-FANRBRW,WHITE-BLACK HAWAII,37,14.00,35.00
4121-FANRBRW,WHITE-BLACK HAWAII,38,14.00,35.00
4121-FANRBRW,WHITE-BLACK HAWAII,39,14.00,35.00
4121-FANRBRW,WHITE-BLACK HAWAII,40,14.00,35.00
4121-FANRBRW,WHITE-BLACK HAWAII,41,14.00,35.00
4121-FANRBRW,WHITE-BLACK HAWAII,42,14.00,35.00
4121 FLIP FLOPS,BLACK-WHITE,35,18.85,29.00
4121 FLIP FLOPS,BLACK-WHITE,36,18.85,29.00
4121 FLIP FLOPS,BLACK-WHITE,37,18.85,29.00
4121 FLIP FLOPS,BLACK-WHITE,38,18.85,29.00
4121 FLIP FLOPS,BLACK-WHITE,39,18.85,29.00
4121 FLIP FLOPS,BLACK-WHITE,40,18.85,29.00
4121 FLIP FLOPS,BLACK-WHITE,41,18.85,29.00
4121 FLIP FLOPS,BLACK-WHITE,42,18.85,29.00
4121 FLIP FLOPS,GREEN SAGE-GREEN LT,35,18.85,29.00
4121 FLIP FLOPS,GREEN SAGE-GREEN LT,36,18.85,29.00
4121 FLIP FLOPS,GREEN SAGE-GREEN LT,37,18.85,29.00
4121 FLIP FLOPS,GREEN SAGE-GREEN LT,38,18.85,29.00
4121 FLIP FLOPS,GREEN SAGE-GREEN LT,39,18.85,29.00
4121 FLIP FLOPS,GREEN SAGE-GREEN LT,40,18.85,29.00
4121 FLIP FLOPS,GREEN SAGE-GREEN LT,41,18.85,29.00
4121 FLIP FLOPS,GREEN SAGE-GREEN LT,42,18.85,29.00
4121 FLIP FLOPS,TOTAL WHITE,35,18.85,29.00
4121 FLIP FLOPS,TOTAL WHITE,36,18.85,29.00
4121 FLIP FLOPS,TOTAL WHITE,37,18.85,29.00
4121 FLIP FLOPS,TOTAL WHITE,38,18.85,29.00
4121 FLIP FLOPS,TOTAL WHITE,39,18.85,29.00
4121 FLIP FLOPS,TOTAL WHITE,40,18.85,29.00
4121 FLIP FLOPS,TOTAL WHITE,41,18.85,29.00
4121 FLIP FLOPS,TOTAL WHITE,42,18.85,29.00
4121 FLIP FLOPS,BLACK-WHITE,35,18.85,29.00
4121 FLIP FLOPS,BLACK-WHITE,36,18.85,29.00
4121 FLIP FLOPS,BLACK-WHITE,37,18.85,29.00
4121 FLIP FLOPS,BLACK-WHITE,38,18.85,29.00
4121 FLIP FLOPS,BLACK-WHITE,39,18.85,29.00
4121 FLIP FLOPS,BLACK-WHITE,40,18.85,29.00
4121 FLIP FLOPS,BLACK-WHITE,41,18.85,29.00
4121 FLIP FLOPS,BLACK-WHITE,42,18.85,29.00
4121 FLIP FLOPS,GREEN SAGE-GREEN LT,35,18.85,29.00
4121 FLIP FLOPS,GREEN SAGE-GREEN LT,36,18.85,29.00
4121 FLIP FLOPS,GREEN SAGE-GREEN LT,37,18.85,29.00
4121 FLIP FLOPS,GREEN SAGE-GREEN LT,38,18.85,29.00
4121 FLIP FLOPS,GREEN SAGE-GREEN LT,39,18.85,29.00
4121 FLIP FLOPS,GREEN SAGE-GREEN LT,40,18.85,29.00
4121 FLIP FLOPS,GREEN SAGE-GREEN LT,41,18.85,29.00
4121 FLIP FLOPS,GREEN SAGE-GREEN LT,42,18.85,29.00
4121 FLIP FLOPS,TOTAL WHITE,35,18.85,29.00
4121 FLIP FLOPS,TOTAL WHITE,36,18.85,29.00
4121 FLIP FLOPS,TOTAL WHITE,37,18.85,29.00
4121 FLIP FLOPS,TOTAL WHITE,38,18.85,29.00
4121 FLIP FLOPS,TOTAL WHITE,39,18.85,29.00
4121 FLIP FLOPS,TOTAL WHITE,40,18.85,29.00
4121 FLIP FLOPS,TOTAL WHITE,41,18.85,29.00
4121 FLIP FLOPS,TOTAL WHITE,42,18.85,29.00
4121 FLIP FLOPS GLITTER,BLACK,35,11.60,29.00
4121 FLIP FLOPS GLITTER,BLACK,36,11.60,29.00
4121 FLIP FLOPS GLITTER,BLACK,37,11.60,29.00
4121 FLIP FLOPS GLITTER,BLACK,38,11.60,29.00
4121 FLIP FLOPS GLITTER,BLACK,39,11.60,29.00
4121 FLIP FLOPS GLITTER,BLACK,40,11.60,29.00
4121 FLIP FLOPS GLITTER,BLACK,41,11.60,29.00
4121 FLIP FLOPS GLITTER,BLACK,42,11.60,29.00
4121 FLIP FLOPS GLITTER,PINK PALE LILAC,35,11.60,29.00
4121 FLIP FLOPS GLITTER,PINK PALE LILAC,36,11.60,29.00
4121 FLIP FLOPS GLITTER,PINK PALE LILAC,37,11.60,29.00
4121 FLIP FLOPS GLITTER,PINK PALE LILAC,38,11.60,29.00
4121 FLIP FLOPS GLITTER,PINK PALE LILAC,39,11.60,29.00
4121 FLIP FLOPS GLITTER,PINK PALE LILAC,40,11.60,29.00
4121 FLIP FLOPS GLITTER,PINK PALE LILAC,41,11.60,29.00
4121 FLIP FLOPS GLITTER,PINK PALE LILAC,42,11.60,29.00
4121 FLIP FLOPS GLITTER,WHITE ICE,35,11.60,29.00
4121 FLIP FLOPS GLITTER,WHITE ICE,36,11.60,29.00
4121 FLIP FLOPS GLITTER,WHITE ICE,37,11.60,29.00
4121 FLIP FLOPS GLITTER,WHITE ICE,38,11.60,29.00
4121 FLIP FLOPS GLITTER,WHITE ICE,39,11.60,29.00
4121 FLIP FLOPS GLITTER,WHITE ICE,40,11.60,29.00
4121 FLIP FLOPS GLITTER,WHITE ICE,41,11.60,29.00
4121 FLIP FLOPS GLITTER,WHITE ICE,42,11.60,29.00
4121 FLIP FLOPS NEON,BLUE FISH-COTTON CANDY TRASP,35,10.50,35.00
4121 FLIP FLOPS NEON,BLUE FISH-COTTON CANDY TRASP,36,10.50,35.00
4121 FLIP FLOPS NEON,BLUE FISH-COTTON CANDY TRASP,37,10.50,35.00
4121 FLIP FLOPS NEON,BLUE FISH-COTTON CANDY TRASP,38,10.50,35.00
4121 FLIP FLOPS NEON,BLUE FISH-COTTON CANDY TRASP,39,10.50,35.00
4121 FLIP FLOPS NEON,BLUE FISH-COTTON CANDY TRASP,40,10.50,35.00
4121 FLIP FLOPS NEON,BLUE FISH-COTTON CANDY TRASP,41,10.50,35.00
4121 FLIP FLOPS NEON,BLUE FISH-COTTON CANDY TRASP,42,10.50,35.00
4121 FLIP FLOPS NEON,BLUE FISH-COTTON CANDY TRASP,43,10.50,35.00
4121 FLIP FLOPS NEON,BLUE FISH-COTTON CANDY TRASP,44,10.50,35.00
4121 FLIP FLOPS NEON,BLUE FISH-COTTON CANDY TRASP,45,10.50,35.00
4121 FLIP FLOPS NEON,BLUE FISH-COTTON CANDY TRASP,46,10.50,35.00
4121 FLIP FLOPS NEON,RED FLUO LOGO,35,10.50,35.00
